problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
4,2310041,56,0,15,15,5899.930613,393.3287075333,21679.65305953,244,230,13,5,355,44,5,88975,0,0,0,70,1.0346604,convex_mesh_per_channel,0,0
4,2310042,56,0,13,13,6030.099089,463.8537760769,22285.49543961,249,236,9,3,228,39,3,58346,0,0,0,63,0.5870788,convex_mesh_per_channel,0,0
4,2310043,56,0,16,16,5037.047764,314.81548525,19390.23880506,174,164,15,6,308,45,6,79897,0,0,0,66,0.804095,upper_bound_16,0,0
4,2310044,56,0,16,16,5229.71094,326.85693375,20278.5546934,178,165,13,4,312,50,4,86416,0,0,0,72,0.8241645,upper_bound_16,0,0
4,2310045,56,0,10,10,5578.318571,557.8318571,19826.59285593,261,246,4,2,163,26,2,47783,0,0,0,49,0.4480713,convex_mesh_per_channel,0,0
4,2310046,56,0,16,16,5865.994543,366.6246589375,22254.9727233,219,207,11,4,354,47,4,78645,0,0,0,72,0.8062931,upper_bound_16,0,0
4,2310047,56,0,13,13,5669.16276,436.0894430769,20290.81380384,256,245,7,6,187,36,6,50306,0,0,0,63,0.5367298,convex_mesh_per_channel,0,0
4,2310048,56,0,12,12,5745.327374,478.7772811667,20011.63687289,280,271,4,2,204,39,2,48519,0,0,0,62,0.6185741,convex_mesh_per_channel,0,0
4,2310049,56,0,10,10,5743.887576,574.3887576,19969.43787885,277,264,17,2,143,30,2,39481,0,0,0,53,0.3548156,convex_mesh_per_channel,0,0
4,2310050,56,0,13,13,5730.345715,440.7958242308,21571.72858621,221,204,14,3,259,36,3,52745,0,0,0,60,0.5702363,convex_mesh_per_channel,0,0
4,2310051,56,0,15,15,6325.096359,421.6730906,23910.48181876,233,219,28,7,322,51,7,72650,0,0,0,79,0.8929985,convex_mesh_per_channel,0,0
4,2310052,56,0,15,15,5614.879797,374.3253198,21489.39897875,200,185,19,4,285,39,4,78975,0,0,0,64,0.7631021,convex_mesh_per_channel,0,0
4,2310053,56,0,16,16,4912.43092,307.0269325,18167.15458487,198,194,5,5,259,42,5,63163,0,0,0,61,0.7625651,upper_bound_16,0,0
4,2310054,56,0,15,15,5706.723305,380.4482203333,22218.6165237,194,182,12,7,328,40,7,84605,0,0,0,68,0.8656412,convex_mesh_per_channel,0,0
4,2310055,56,0,15,15,5977.828273,398.5218848667,22659.14135546,228,216,5,2,266,43,2,67524,0,0,0,66,0.7621383,convex_mesh_per_channel,0,0
4,2310056,56,0,16,16,5771.284063,360.7052539375,22646.42034096,187,170,19,5,284,43,5,71045,0,0,0,69,0.7298307,upper_bound_16,0,0
4,2310057,56,0,13,13,5939.020818,456.8477552308,22240.10408269,235,218,11,4,283,45,4,71848,0,0,0,70,0.7426048,convex_mesh_per_channel,0,0
4,2310058,56,0,15,15,5379.82847,358.6552313333,20709.14234334,193,180,6,1,306,46,1,83943,0,0,0,68,0.8057711,convex_mesh_per_channel,0,0
4,2310059,56,0,14,14,5939.811036,424.2722168571,22034.05518652,237,227,17,4,179,40,4,43309,0,0,0,65,0.5162706,convex_mesh_per_channel,0,0
4,2310060,56,0,11,11,6162.383612,560.216692,22131.91805904,271,257,23,7,145,22,7,36152,0,0,0,50,0.3746683,convex_mesh_per_channel,0,0
4,2310061,56,0,12,12,5743.314644,478.6095536667,20296.57321319,270,256,6,2,188,34,2,53116,0,0,0,57,0.5219876,convex_mesh_per_channel,0,0
4,2310062,56,0,15,15,5685.903708,379.0602472,22369.51854966,182,170,19,6,422,47,6,117669,0,0,0,74,1.1435571,convex_mesh_per_channel,0,0
4,2310063,56,0,15,15,6314.164639,420.9443092667,23955.82320192,240,230,6,4,229,43,4,47924,0,0,0,68,0.6030368,convex_mesh_per_channel,0,0
4,2310064,56,0,14,14,5208.726423,372.0518873571,19808.63212088,194,183,8,3,322,41,3,102791,0,0,0,65,0.9116381,convex_mesh_per_channel,0,0
4,2310065,56,0,12,12,5858.860915,488.2384095833,20914.304578,266,253,11,6,135,33,6,35706,0,0,0,60,0.4001367,convex_mesh_per_channel,0,0
4,2310066,56,0,14,14,5600.8043,400.05745,21764.02149765,188,172,22,2,278,44,2,69426,0,0,0,67,0.7317347,convex_mesh_per_channel,0,0
4,2310067,56,0,14,14,5992.67912,428.0485085714,21738.39558805,258,243,14,6,187,43,6,41406,0,0,0,70,0.5136722,convex_mesh_per_channel,0,0
4,2310068,56,0,10,10,5804.304056,580.4304056,20511.52029866,271,258,13,4,214,30,4,63088,0,0,0,55,0.6192823,convex_mesh_per_channel,0,0
4,2310069,56,0,11,11,6145.614116,558.6921923636,20873.07057166,311,301,20,4,111,30,4,24972,0,0,0,55,0.3228172,convex_mesh_per_channel,0,0
4,2310070,56,0,15,15,5916.209744,394.4139829333,22221.04873894,217,210,34,6,339,42,6,81602,0,0,0,69,0.8642901,convex_mesh_per_channel,0,0
4,2310071,56,0,11,11,5393.98341,490.3621281818,19759.91704378,231,217,5,3,203,26,3,63666,0,0,0,50,0.6365176,convex_mesh_per_channel,0,0
4,2310072,56,0,12,12,5323.491825,443.62431875,19032.45912783,241,228,8,1,286,42,1,79608,0,0,0,64,0.7961253,convex_mesh_per_channel,0,0
4,2310073,56,0,12,12,5966.977478,497.2481231667,21139.88740265,271,258,22,3,91,31,3,25738,0,0,0,55,0.2861131,convex_mesh_per_channel,0,0
4,2310074,56,0,10,10,5467.776156,546.7776156,19423.88077426,257,245,1,1,176,27,1,51256,0,0,0,49,0.5185178,convex_mesh_per_channel,0,0
4,2310075,56,0,14,14,5622.051118,401.5750798571,21515.25559872,208,194,5,3,373,42,3,106526,0,0,0,66,1.1673649,convex_mesh_per_channel,0,0
4,2310076,56,0,12,12,5453.612312,454.4676926667,20543.06155851,215,198,4,1,388,41,1,114768,0,0,0,63,1.0984661,convex_mesh_per_channel,0,0
4,2310077,56,0,12,12,6398.009351,533.1674459167,22835.04676873,284,270,27,5,64,31,5,11719,0,0,0,57,0.1681832,convex_mesh_per_channel,0,0
4,2310078,56,0,13,13,5648.037939,434.4644568462,21050.18967935,230,220,1,4,215,33,4,56189,0,0,0,58,0.5419979,convex_mesh_per_channel,0,0
4,2310079,56,0,14,14,5881.38092,420.0986371429,21701.90459131,243,232,8,5,358,39,5,80855,0,0,0,65,0.8721594,convex_mesh_per_channel,0,0
4,2310080,56,0,16,16,5035.755042,314.734690125,19368.77521126,173,166,17,6,299,49,6,69917,0,0,0,70,0.7557271,upper_bound_16,0,0
4,2310081,56,0,12,12,5900.442826,491.7035688333,21027.21412536,269,257,11,3,283,44,3,78726,0,0,0,68,0.8327164,convex_mesh_per_channel,0,0
