时间段,购电_kWh,充电_kWh,放电_kWh,时段初SOC_kWh,时段末SOC_kWh
11:10-11:20,0.0,272.6315333333334,0.0,3720.8140607407413,3966.182440740741
11:20-11:30,0.0,284.32098333333334,0.0,3966.182440740741,4222.0713257407415
11:30-11:40,179.2771713991827,468.5786380658495,0.0,4222.0713257407415,4643.792100000006
11:40-11:50,520.1245166666666,833.3333333333334,0.0,4643.792100000006,5393.792100000006
11:50-12:00,486.40289999999993,833.3333333333334,0.0,5393.792100000006,6143.792100000006
12:00-12:10,480.41245,833.3333333333334,0.0,6143.792100000006,6893.792100000006
12:10-12:20,485.30000000000007,833.3333333333334,0.0,6893.792100000006,7643.792100000006
12:20-12:30,488.6069666666666,833.3333333333334,0.0,7643.792100000006,8393.792100000006
12:30-12:40,498.27073333333334,833.3333333333334,0.0,8393.792100000006,9143.792100000006
12:40-12:50,0.0,304.55176666666665,0.0,9143.792100000006,9417.888690000007
12:50-13:00,0.0,264.50718333333333,0.0,9417.888690000007,9655.945155000007
13:00-13:10,0.0,242.50754999999995,0.0,9655.945155000007,9874.201950000006
13:10-13:20,0.0,223.07558333333327,0.0,9874.201950000006,10074.969975000005
13:20-13:30,0.0,198.7593166666667,0.0,10074.969975000005,10253.853360000005
13:30-13:40,0.0,177.35981666666672,0.0,10253.853360000005,10413.477195000007
13:40-13:50,0.0,151.74029999999993,0.0,10413.477195000007,10550.043465000006
13:50-14:00,0.0,120.03503333333326,0.0,10550.043465000006,10658.074995000006
14:00-14:10,0.0,87.81445000000001,0.0,10658.074995000006,10737.108000000007
14:10-14:20,0.0,53.62486666666655,0.0,10737.108000000007,10785.370380000008
14:20-14:30,0.0,16.255133333333408,0.0,10785.370380000008,10800.000000000007
14:30-14:40,0.0,0.0,23.781366666666752,10800.000000000007,10773.576259259265
14:40-14:50,0.0,0.0,67.32001666666672,10773.576259259265,10698.776240740746
14:50-15:00,112.0898666666667,0.0,0.0,10698.776240740746,10698.776240740746
15:00-15:10,266.7326936213991,112.47084362139907,0.0,10698.776240740746,10800.000000000007
15:10-15:20,197.52351666666664,0.0,0.0,10800.000000000007,10800.000000000007
15:20-15:30,244.81403333333324,0.0,0.0,10800.000000000007,10800.000000000007
15:30-15:40,295.53461666666675,0.0,0.0,10800.000000000007,10800.000000000007
15:40-15:50,345.7775000000001,0.0,0.0,10800.000000000007,10800.000000000007
15:50-16:00,394.93148333333335,0.0,0.0,10800.000000000007,10800.000000000007
16:00-16:10,445.43165000000005,0.0,0.0,10800.000000000007,10800.000000000007
16:10-16:20,495.6965833333333,0.0,0.0,10800.000000000007,10800.000000000007
16:20-16:30,547.11905,0.0,0.0,10800.000000000007,10800.000000000007
16:30-16:40,599.9854333333333,0.0,0.0,10800.000000000007,10800.000000000007
16:40-16:50,635.4297499999999,0.0,0.0,10800.000000000007,10800.000000000007
16:50-17:00,660.8306833333335,0.0,0.0,10800.000000000007,10800.000000000007
17:00-17:10,702.0369333333333,0.0,0.0,10800.000000000007,10800.000000000007
17:10-17:20,738.0657833333333,0.0,0.0,10800.000000000007,10800.000000000007
17:20-17:30,775.9447166666667,0.0,0.0,10800.000000000007,10800.000000000007
17:30-17:40,826.08325,0.0,0.0,10800.000000000007,10800.000000000007
17:40-17:50,762.4227999999999,0.0,0.0,10800.000000000007,10800.000000000007
17:50-18:00,636.9826166666667,0.0,0.0,10800.000000000007,10800.000000000007
18:00-18:10,531.8940499999999,0.0,109.26725000000005,10800.000000000007,10678.591944444452
18:10-18:20,678.8305333333334,0.0,0.0,10678.591944444452,10678.591944444452
18:20-18:30,686.2685,0.0,0.0,10678.591944444452,10678.591944444452
18:30-18:40,696.5043833333333,0.0,0.0,10678.591944444452,10678.591944444452
18:40-18:50,0.0,0.0,704.6342666666666,10678.591944444452,9895.664981481488
18:50-19:00,0.0,0.0,706.4840333333333,9895.664981481488,9110.68272222223
19:00-19:10,0.0,0.0,707.4064666666667,9110.68272222223,8324.675537037043
19:10-19:20,0.0,0.0,708.553,8324.675537037043,7537.394425925932
19:20-19:30,0.0,0.0,709.4468833333334,7537.394425925932,6749.120111111118
19:30-19:40,0.0,0.0,711.23245,6749.120111111118,5958.86183333334
19:40-19:50,0.0,0.0,711.6625,5958.86183333334,5168.125722222228
19:50-20:00,0.0,0.0,711.4450333333333,5168.125722222228,4377.631240740748
20:00-20:10,0.0,0.0,713.7040833333334,4377.631240740748,3584.62670370371
20:10-20:20,0.0,0.0,715.28415,3584.62670370371,2789.8665370370436
20:20-20:30,0.0,0.0,715.22685,2789.8665370370436,1995.1700370370436
20:30-20:40,0.0,0.0,715.6530333333334,1995.1700370370436,1200.0000000000064
20:40-20:50,715.8689166666667,0.0,0.0,1200.0000000000064,1200.0000000000064
20:50-21:00,717.0051166666667,0.0,0.0,1200.0000000000064,1200.0000000000064
21:00-21:10,720.1603,0.0,0.0,1200.0000000000064,1200.0000000000064
21:10-21:20,717.0548666666667,0.0,0.0,1200.0000000000064,1200.0000000000064
21:20-21:30,720.4459666666667,0.0,0.0,1200.0000000000064,1200.0000000000064
21:30-21:40,738.1347166666666,0.0,0.0,1200.0000000000064,1200.0000000000064
21:40-21:50,671.6935666666667,0.0,0.0,1200.0000000000064,1200.0000000000064
