problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
3,2610180,78,13,0,2971.912091,228.608622384615,11439.5604680331,103,95,3,7,76,74,27,27,21,2,0.236083958
3,2610181,78,14,0,3165.514257,226.108161214286,12067.5712818955,114,109,1,7,83,81,41,31,28,2,0.163357625
3,2610182,78,10,0,3424.089381,342.4089381,13305.4469067928,119,112,2,7,98,97,28,21,15,1,0.12908475
3,2610183,78,14,0,2857.159567,204.082826214286,11000.7978419156,98,91,2,7,68,66,26,30,25,2,0.284535625
3,2610184,78,13,0,3322.24141,255.557031538462,12491.2070565074,123,114,10,7,93,92,44,30,22,1,0.149087959
3,2610185,78,12,0,2802.83201,233.569334166667,10399.1600508974,111,105,1,7,83,82,27,28,23,1,0.141515125
3,2610186,78,12,0,2914.357391,242.863115916667,10806.7869584028,115,106,4,7,83,82,27,32,24,1,0.180692708
3,2610187,78,11,0,2699.814545,245.437685909091,9994.07272506524,106,98,6,7,79,76,16,27,22,3,0.179403083
3,2610188,78,10,0,2811.332375,281.1332375,10031.6618822639,125,118,4,7,101,100,31,24,18,1,0.053145708
3,2610189,78,10,0,2645.985024,264.5985024,9449.92510792618,118,113,1,7,95,93,25,23,20,2,0.093975041
3,2610190,78,16,0,2947.19337,184.199585625,11305.9668680315,100,94,4,6,65,64,41,35,30,1,0.307101791
3,2610191,78,12,0,2888.35214,240.696011666667,10486.7607070626,119,112,8,7,92,90,36,27,22,2,0.122927875
3,2610192,78,10,0,2589.26012,258.926012,9531.30060745308,106,97,2,7,83,80,13,23,17,3,0.171547875
3,2610193,78,13,0,2795.073372,215.005644,9935.36685450787,123,119,3,7,89,88,40,34,31,1,0.165462042
3,2610194,78,13,0,3111.665161,239.358858538462,11918.3258036396,111,102,2,7,79,77,30,32,25,2,0.2741675
3,2610195,78,14,0,3254.85879,232.489913571429,12109.2939442389,128,120,1,7,97,96,55,31,24,1,0.111894375
3,2610196,78,16,0,3165.245032,197.8278145,11991.2251682041,112,103,8,6,69,67,45,43,36,2,0.308870375
3,2610197,78,14,0,2948.055217,210.575372642857,10895.276064302,117,111,1,7,84,82,42,33,29,2,0.213951917
3,2610198,78,13,0,2775.043391,213.464876230769,9925.21694985111,117,110,10,7,82,81,33,35,29,1,0.229201333
3,2610199,78,10,0,2903.59257,290.359257,10762.9628494833,115,108,6,7,92,90,22,23,18,2,0.157412791
3,2610200,78,14,0,2990.459246,213.604231857143,11177.2962304805,113,108,4,7,76,74,34,37,34,2,0.247669291
