problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
4,2610122,78,0,13,13,5490.767401,422.3667231538,20108.83701186,233,218,7,3,282,39,3,89104,0,0,0,63,0.8181955,convex_mesh_per_channel,3,1.766063221694,0,0,0,0,0
4,2610123,78,0,16,16,5967.927799,372.9954874375,22264.63903468,223,215,35,6,186,44,6,50529,0,0,0,70,0.601613958,upper_bound_16,1,0,0,0,0,0,0
4,2610124,78,0,15,15,5673.588562,378.2392374667,21602.9427719,201,186,29,4,469,56,4,132282,0,0,0,81,1.238959292,convex_mesh_per_channel,1,0.02212973823771,0,0,0,0,0
4,2610125,78,0,15,15,5818.774365,387.918291,23078.87180266,188,173,5,2,277,43,2,68174,0,0,0,66,0.641975792,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610126,78,0,12,12,5601.404349,466.78369575,20172.02173983,247,233,13,4,219,35,4,61935,0,0,0,60,0.596473667,convex_mesh_per_channel,1,3.281984942922,0,0,0,0,0
4,2610127,78,0,16,16,5615.328876,350.95805475,21356.64440049,206,192,14,8,361,47,8,87657,0,0,0,75,0.8060995,upper_bound_16,0,0,0,0,0,0,0
4,2610128,78,0,13,13,6303.06289,484.8509915385,23145.31444794,263,246,16,4,163,45,4,43160,0,0,0,70,0.453615125,convex_mesh_per_channel,1,3.621368259959,0,0,0,0,0
4,2610129,78,0,15,15,5815.717832,387.7145221333,22243.58921189,201,188,33,5,294,40,5,86583,0,0,0,66,0.80480075,convex_mesh_per_channel,2,1.308735098733,0,0,0,0,0
4,2610130,78,0,10,10,6491.554816,649.1554816,23207.77405864,296,284,12,4,126,27,4,34283,0,0,0,52,0.360867625,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610131,78,0,10,10,5531.959094,553.1959094,19144.79547935,277,265,1,4,168,26,4,51968,0,0,0,51,0.473376,convex_mesh_per_channel,1,0.5589124473772,0,0,0,0,0
4,2610132,78,0,12,12,5706.316368,475.526364,20431.58185681,253,241,18,3,222,36,3,53673,0,0,0,60,0.524904917,convex_mesh_per_channel,1,0,0,0,0,0,0
4,2610133,78,0,11,11,5765.69451,524.1540463636,21108.47255682,245,228,12,5,227,34,5,67645,0,0,0,60,0.631639125,convex_mesh_per_channel,1,0.8060162848487,0,0,0,0,0
4,2610134,78,0,16,16,5492.417429,343.2760893125,21307.0871459,189,176,10,7,382,48,7,89246,0,0,0,73,0.942587875,upper_bound_16,1,0.7559893103535,0,0,0,0,0
4,2610135,78,0,11,11,5968.467436,542.5879487273,21342.33721311,264,250,25,6,236,34,6,60668,0,0,0,61,0.599092875,convex_mesh_per_channel,1,1.877493028194,0,0,0,0,0
4,2610136,78,0,16,16,4838.865045,302.4290653125,17359.32524773,201,195,29,4,203,43,4,46441,0,0,0,61,0.48689125,upper_bound_16,2,7.264389185879,0,0,0,0,0
4,2610137,78,0,16,16,5110.949397,319.4343373125,20394.74698711,159,145,4,4,407,40,4,110912,0,0,0,63,1.0534425,upper_bound_16,0,0,0,0,0,0,0
4,2610138,78,0,16,16,4542.705976,283.9191235,17178.52988576,168,160,9,6,328,39,6,86478,0,0,0,58,0.833216083,upper_bound_16,1,4.349185546278,0,0,0,0,0
4,2610139,78,0,11,11,6039.77799,549.0707263636,21088.88994329,294,279,6,5,162,27,5,34462,0,0,0,53,0.355038333,convex_mesh_per_channel,3,35.11311766527,0,0,0,0,0
4,2610140,78,0,13,13,5873.246614,451.7882010769,20821.23307858,272,257,9,4,264,45,4,78110,0,0,0,70,0.768028958,convex_mesh_per_channel,4,10.87815860227,0,0,0,0,0
4,2610141,78,0,16,16,5551.138032,346.946127,21585.69016709,179,166,31,7,305,39,7,79439,0,0,0,61,0.784399625,upper_bound_16,2,15.41671596556,0,0,0,0,0
4,2610142,78,0,10,10,5622.829207,562.2829207,19834.14603924,267,253,6,2,233,31,2,59365,0,0,0,54,0.648626333,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610143,78,0,10,10,6028.834219,602.8834219,20604.17108085,305,291,14,1,76,30,1,18991,0,0,0,52,0.196968417,convex_mesh_per_channel,3,9.712834521375,0,0,0,0,0
4,2610144,78,0,15,15,5588.660754,372.5773836,21338.30377168,202,188,16,4,322,39,4,91152,0,0,0,64,0.856507541,convex_mesh_per_channel,3,15.37598848928,0,0,0,0,0
4,2610145,78,0,12,12,5582.937422,465.2447851667,20124.68712248,251,237,2,5,211,31,5,57313,0,0,0,57,0.577705834,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610146,78,0,15,15,5873.05729,391.5371526667,22640.28645973,210,196,8,4,242,43,4,57046,0,0,0,68,0.6355765,convex_mesh_per_channel,3,15.99244051673,0,0,0,0,0
4,2610147,78,0,16,16,4448.258447,278.0161529375,16616.29222266,169,161,13,7,348,41,7,99910,0,0,0,60,0.948532042,upper_bound_16,2,7.634868500878,0,0,0,0,0
4,2610148,78,0,15,15,5750.49192,383.366128,22617.45961516,182,164,26,5,372,53,5,98607,0,0,0,79,1.002034167,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610149,78,0,14,14,5810.433509,415.0309649286,21752.16755523,226,215,15,5,248,40,5,71865,0,0,0,66,0.645689625,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610150,78,0,13,13,5797.146011,445.9343085385,20470.73009058,268,256,14,5,266,33,5,76818,0,0,0,59,0.744695708,convex_mesh_per_channel,0,0,0,0,0,0,0
4,2610151,78,0,12,12,6092.033579,507.6694649167,22530.16787109,240,227,33,3,294,33,3,69318,0,0,0,57,0.708420916,convex_mesh_per_channel,2,0.9470440643709,0,0,0,0,0
4,2610152,78,0,15,15,5604.304377,373.6202918,21446.5218915,203,189,12,5,290,43,5,77569,0,0,0,69,0.746125334,convex_mesh_per_channel,1,0,0,0,0,0,0
4,2610153,78,0,11,11,5638.643076,512.603916,20418.21538366,252,237,1,0,201,32,0,59827,0,0,0,53,0.5948555,convex_mesh_per_channel,2,7.870704132489,0,0,0,0,0
