problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
4,2610132,78,12,11,5706.316368,475.526364,20431.5818568118,253,241,18,21,230,220,62,23,21,10,0.907244375
4,2610133,78,11,2,5765.69451,524.154046363636,21108.4725568228,245,228,12,21,222,208,33,23,20,14,0.982311958
4,2610134,78,16,15,5492.417429,343.2760893125,21307.0871458957,189,176,10,18,155,146,83,34,30,9,1.368958875
4,2610135,78,11,9,5968.467436,542.587948727273,21342.3372131129,264,250,25,21,242,229,53,22,21,13,1.044292292
4,2610136,78,16,11,4838.865045,302.4290653125,17359.3252477265,201,195,29,14,174,170,118,27,25,4,0.765184666
4,2610137,78,16,6,5110.949397,319.4343373125,20394.7469871062,159,145,4,19,133,121,57,26,24,12,1.651566417
4,2610138,78,16,1,4542.705976,283.9191235,17178.5298857633,168,160,9,13,140,135,88,28,25,5,1.193903167
4,2610139,78,11,7,6039.77799,549.070726363636,21088.8899432938,294,279,6,21,277,264,88,17,15,13,0.504817917
4,2610140,78,13,6,5873.246614,451.788201076923,20821.2330785829,272,257,9,21,239,230,92,33,27,9,1.087191333
4,2610141,78,16,9,5551.138032,346.946127,21585.6901670934,179,166,31,15,152,144,92,27,22,8,1.180664333
4,2610142,78,10,2,5622.829207,562.2829207,19834.1460392444,267,253,6,21,249,236,39,18,17,13,1.072983125
4,2610143,78,10,7,6028.834219,602.8834219,20604.1710808498,305,291,14,21,288,277,78,17,14,11,0.341974958
4,2610144,78,15,3,5588.660754,372.5773836,21338.3037716827,202,188,16,21,178,167,73,24,21,11,1.367334917
4,2610145,78,12,4,5582.937422,465.244785166667,20124.6871224819,251,237,2,21,229,216,61,22,21,13,0.912590292
4,2610146,78,15,10,5873.05729,391.537152666667,22640.2864597278,210,196,8,21,185,172,80,25,24,13,0.852617291
4,2610147,78,16,3,4448.258447,278.0161529375,16616.2922226588,169,161,13,12,141,136,93,28,25,5,1.496862417
4,2610148,78,15,10,5750.49192,383.366128,22617.4596151613,182,164,26,21,154,139,49,28,25,15,1.555639542
4,2610149,78,14,9,5810.433509,415.030964928571,21752.1675552253,226,215,15,21,200,192,74,26,23,8,0.930098958
4,2610150,78,13,5,5797.146011,445.934308538462,20470.7300905785,268,256,14,21,244,232,97,24,24,12,1.12966925
4,2610151,78,12,9,6092.033579,507.669464916667,22530.1678710947,240,227,33,21,222,210,54,18,17,12,1.1156965
4,2610152,78,15,10,5604.304377,373.6202918,21446.5218915021,203,189,12,21,173,163,68,30,26,10,1.183164875
4,2610153,78,11,3,5638.643076,512.603916,20418.2153836595,252,237,1,21,232,218,43,20,19,14,0.877576208
4,2610154,78,15,2,5645.677185,376.378479,21983.3859263177,196,182,4,21,173,161,68,23,21,12,1.313156916
4,2610155,78,14,8,6050.403121,432.1716515,23177.0156062292,221,207,11,21,195,185,69,26,22,10,0.790689458
4,2610156,78,10,6,5957.614084,595.7614084,21003.0703938928,281,266,12,21,259,247,49,22,19,12,0.91796125
4,2610157,78,15,6,5654.373992,376.958266133333,21756.8699636726,203,186,9,21,181,168,76,22,18,13,0.563833875
4,2610158,78,16,15,6300.513027,393.7820641875,24287.5651442083,214,206,29,18,184,177,112,30,29,7,1.47217075
4,2610159,78,13,8,5783.611557,444.893196692308,21758.0577807711,227,217,5,21,201,192,54,26,25,9,1.276609667
4,2610160,78,13,1,5381.618171,413.970628538462,20358.0908654956,208,196,3,21,187,175,40,21,21,12,1.087088584
4,2610161,78,15,4,5716.121408,381.074760533333,22030.6070477977,203,193,9,21,175,166,70,28,27,9,2.030400583
4,2610162,78,15,10,5834.811095,388.987406333333,21774.0554523824,229,218,14,21,203,194,98,26,24,9,1.487661458
4,2610163,78,12,11,6006.353868,500.529489,22111.7693398107,251,236,11,21,234,221,66,17,15,13,0.668664167
4,2610164,78,10,1,5697.147222,569.7147222,19655.7361165584,285,270,7,21,270,256,60,15,14,14,0.617877708
4,2610165,78,13,4,6095.600482,468.892344769231,21803.0024151339,271,258,19,21,248,237,101,23,21,11,0.788405417
4,2610166,78,11,2,5973.109592,543.009962909091,20985.5479877177,283,270,12,21,263,253,74,20,17,10,0.703872917
4,2610167,78,15,13,5839.256341,389.283756066667,21441.2816967556,241,232,13,21,212,204,107,29,28,8,1.338728875
4,2610168,78,10,7,5903.273718,590.3273718,20651.3685926413,278,264,23,21,259,245,49,19,19,14,0.909784791
4,2610169,78,14,7,5719.233424,408.516673142857,21191.1671249524,232,218,11,21,200,190,74,32,28,10,1.509871083
4,2610170,78,16,11,4631.031389,289.4394618125,18090.1569639589,153,141,9,16,118,111,54,35,30,7,1.549099792
4,2610171,78,10,8,6278.193726,627.8193726,21155.9686247448,329,319,11,21,311,301,101,18,18,10,0.301592209
4,2610172,78,12,9,6352.330394,529.360866166667,22946.6520126647,267,251,39,21,245,234,77,22,17,11,0.519000584
4,2610173,78,15,1,5332.37003,355.491335333333,20831.850165612,182,169,4,21,151,140,46,31,29,11,2.22991
4,2610174,78,14,7,5753.207478,410.943391285714,21736.0373914106,215,204,19,21,190,180,64,25,24,10,1.030307625
4,2610175,78,13,10,6028.609228,463.739171384615,22263.0461499462,242,226,25,21,214,202,67,28,24,12,0.914442208
