problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,weighted_gap_ratio,max_relative_gap,skipped,runtime_s,certificate
3,510019,0,10,10,2966.102636,296.6102636,11725.5131759,96,91,0,0,0,0,0,0,0,0,0,0,0,0.0008582,seven_point_per_channel
3,510019,1,10,10,3101.228409,310.1228409,12361.14203698,97,91,1,0,0,0,0,0,0,0,0,0,0,0.0008592,seven_point_per_channel
3,510019,2,10,10,3162.133285,316.2133285,12705.66642086,96,91,0,0,0,0,0,0,0,0,0,0,0,0.0008501,seven_point_per_channel
3,510019,3,10,10,2966.102636,296.6102636,11725.5131759,96,91,0,0,0,0,0,0,0,0,0,0,0,0.0008727,seven_point_per_channel
3,510019,4,10,10,2966.102636,296.6102636,11725.5131759,96,91,0,0,17,14,17,0,612.4550543088,87.34367036604,0.0185614688572,0.07736541057527,0,0.0044098,seven_point_per_channel
3,510019,5,10,10,3115.932997,311.5932997,12414.66498669,98,93,0,0,17,15,17,0,698.6722878741,69.62118288316,0.01342947498246,0.07614536107451,0,0.004518,seven_point_per_channel
3,510020,0,11,11,3593.188266,326.6534787273,14410.94134132,110,106,0,0,0,0,0,0,0,0,0,0,0,0.000441,seven_point_per_channel
3,510020,1,11,11,3909.863404,355.4421276364,15954.31703726,111,106,1,0,0,0,0,0,0,0,0,0,0,0.0004357,seven_point_per_channel
3,510020,2,11,11,4113.865422,373.9877656364,16974.32711517,111,106,1,0,0,0,0,0,0,0,0,0,0,0.0004297,seven_point_per_channel
3,510020,3,11,11,3593.188266,326.6534787273,14410.94134132,110,106,0,0,0,0,0,0,0,0,0,0,0,0.000409,seven_point_per_channel
3,510020,4,11,11,3593.188266,326.6534787273,14410.94134132,110,106,0,0,18,18,18,0,0,0,0,0,0,0.0007629,seven_point_per_channel
3,510020,5,11,11,3482.466615,316.5878740909,13857.33307615,110,106,0,0,18,18,18,0,0,0,0,0,0,0.0015258,seven_point_per_channel
3,510021,0,11,11,3370.98933,306.4535754545,13629.9466594,99,95,0,0,0,0,0,0,0,0,0,0,0,0.0005696,seven_point_per_channel
3,510021,1,11,11,3547.374705,322.4886095455,14511.87352399,99,95,0,0,0,0,0,0,0,0,0,0,0,0.0005573,seven_point_per_channel
3,510021,2,11,11,3719.34651,338.12241,15396.73255679,98,95,0,0,0,0,0,0,0,0,0,0,0,0.0005465,seven_point_per_channel
3,510021,3,11,11,3370.98933,306.4535754545,13629.9466594,99,95,0,0,0,0,0,0,0,0,0,0,0,0.000605,seven_point_per_channel
3,510021,4,11,11,3370.98933,306.4535754545,13629.9466594,99,95,0,0,18,18,18,0,0,0,0,0,0,0.0043908,seven_point_per_channel
3,510021,5,11,11,3325.262582,302.2965983636,13296.31290907,103,96,0,0,18,16,18,0,783.8480678535,62.53310249462,0.01276691663543,0.08169522296396,0,0.0041274,seven_point_per_channel
3,510022,0,16,16,3664.926597,229.0579123125,15479.63298847,83,71,1,0,0,0,0,0,0,0,0,0,0,0.00167,upper_bound_16
3,510022,1,16,16,3865.329514,241.583094625,16521.64759051,82,71,0,0,0,0,0,0,0,0,0,0,0,0.0016423,upper_bound_16
3,510022,2,16,16,4062.249155,253.8905721875,17506.2457897,82,71,0,0,0,0,0,0,0,0,0,0,0,0.001603,upper_bound_16
3,510022,3,16,16,3664.926597,229.0579123125,15479.63298847,83,71,1,0,0,0,0,0,0,0,0,0,0,0.0016235,upper_bound_16
3,510022,4,16,16,3664.926597,229.0579123125,15479.63298847,83,71,1,0,23,15,23,0,1261.672803029,276.8768269933,0.0547035113895,0.1456037187409,0,0.0057064,upper_bound_16
3,510022,5,16,16,3818.334012,238.64587575,16081.6700686,88,79,1,0,22,17,22,0,810.1282667626,132.2429869194,0.02437949009824,0.08553776415356,1,0.0045121,upper_bound_16
