problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,13,0,15,15,3803.890987,253.5927324667,15884.45492888,94,82,0,0,0,0,0,0,0,0,0,0.0011757,seven_point_per_channel
3,13,1,15,15,4039.907957,269.3271971333,17024.53977136,95,82,1,0,0,0,0,0,0,0,0,0.0011566,seven_point_per_channel
3,13,2,15,15,4134.072516,275.6048344,17535.36257321,94,82,0,0,0,0,0,0,0,0,0,0.0011443,seven_point_per_channel
3,13,3,15,15,3803.890987,253.5927324667,15884.45492888,94,82,0,0,0,0,0,0,0,0,0,0.001147,seven_point_per_channel
3,13,4,15,15,3803.890987,253.5927324667,15884.45492888,94,82,0,0,22,18,22,0,920.3898785551,115.1514656241,0,0.0053871,seven_point_per_channel
3,13,5,15,15,3619.441172,241.2960781333,14902.20586674,96,84,0,0,22,18,22,0,1154.27189673,110.2351699702,0,0.00552,seven_point_per_channel
3,14,0,11,11,3445.177781,313.1979800909,13675.88891503,110,102,1,0,0,0,0,0,0,0,0,0.0005577,seven_point_per_channel
3,14,1,11,11,3619.26764,329.0243309091,14636.33820851,107,102,0,0,0,0,0,0,0,0,0,0.0004709,seven_point_per_channel
3,14,2,11,11,3796.573396,345.143036,15522.86699367,107,102,0,0,0,0,0,0,0,0,0,0.000457,seven_point_per_channel
3,14,3,11,11,3445.177781,313.1979800909,13675.88891503,110,102,1,0,0,0,0,0,0,0,0,0.0004719,seven_point_per_channel
3,14,4,11,11,3445.177781,313.1979800909,13675.88891503,110,102,1,0,18,18,18,0,0,0,0,0.0016714,seven_point_per_channel
3,14,5,11,11,3191.727975,290.1570886364,12523.63987822,106,102,0,0,18,18,18,0,0,0,0,0.0022923,seven_point_per_channel
3,15,0,14,14,3740.991661,267.2136900714,15259.95830659,105,94,0,0,0,0,0,0,0,0,0,0.0008227,seven_point_per_channel
3,15,1,14,14,3940.464754,281.4617681429,16257.32376919,105,94,0,0,0,0,0,0,0,0,0,0.000798,seven_point_per_channel
3,15,2,14,14,4079.658944,291.4042102857,16953.29471935,105,94,0,0,0,0,0,0,0,0,0,0.000791,seven_point_per_channel
3,15,3,14,14,3740.991661,267.2136900714,15259.95830659,105,94,0,0,0,0,0,0,0,0,0,0.0007804,seven_point_per_channel
3,15,4,14,14,3670.48352,262.1773942857,14867.41760896,106,94,1,0,21,21,21,0,0,0,0,0.0040511,seven_point_per_channel
3,15,5,14,14,3582.678184,255.9055845714,14773.39093085,93,87,2,0,21,19,21,0,569.3190297344,50.87495895511,0,0.0059206,seven_point_per_channel
3,16,0,14,14,3803.688639,271.6920456429,16048.44320111,88,81,1,0,0,0,0,0,0,0,0,0.001195,seven_point_per_channel
3,16,1,14,14,3992.820552,285.201468,17009.10276365,88,81,0,0,0,0,0,0,0,0,0,0.001195,seven_point_per_channel
3,16,2,14,14,4207.154674,300.5110481429,18040.77335851,89,81,1,0,0,0,0,0,0,0,0,0.0011708,seven_point_per_channel
3,16,3,14,14,3803.688639,271.6920456429,16048.44320111,88,81,1,0,0,0,0,0,0,0,0,0.0011624,seven_point_per_channel
3,16,4,14,14,3803.688639,271.6920456429,16048.44320111,88,81,1,0,21,16,21,0,268.2569077239,43.53852997916,0,0.0055116,seven_point_per_channel
3,16,5,14,14,3462.783281,247.3416629286,14203.916409,93,87,0,0,21,18,21,0,471.0689724642,42.51394601346,0,0.0038681,seven_point_per_channel
3,17,0,14,14,3540.180267,252.8700190714,14415.90133396,99,92,0,0,0,0,0,0,0,0,0,0.0006851,seven_point_per_channel
3,17,1,14,14,3744.936769,267.4954835,15439.68385313,99,92,0,0,0,0,0,0,0,0,0,0.0006787,seven_point_per_channel
3,17,2,14,14,3880.354898,277.168207,16116.77450111,99,92,0,0,0,0,0,0,0,0,0,0.0006674,seven_point_per_channel
