kind,date,baseline_yuan,main_yuan,saving_yuan
q4_2,2025-03-15,15168.253817223958,14934.202445886865,234.05137133709286
q4_2,2025-03-16,43449.37440818305,42588.64174696749,860.7326612155593
q4_2,2025-03-17,42841.56571259396,42148.77138738883,692.7943252051336
q4_2,2025-03-18,45330.85995455056,43998.6378634499,1332.2220911006589
q4_2,2025-03-19,42467.465999209395,41488.80603298445,978.6599662249428
q4_2,2025-03-20,43059.64785868737,42399.63278681639,660.0150718709774
q4_2,2025-03-21,13902.028638675427,13684.970353149341,217.05828552608546
q4_2,2025-03-22,15092.41773588577,14759.9738070387,332.4439288470712
q4_2,2025-03-23,39516.21265602781,38969.94275606956,546.2698999582499
q4_2,2025-03-24,41931.64920490999,40926.249267422674,1005.3999374873165
q4_2,2025-03-25,40827.43393673115,40436.11891078478,391.3150259463655
q4_2,2025-03-26,40587.543526843525,40096.94221443214,490.6013124113815
q4_2,2025-03-27,40259.44040375126,39601.65095004635,657.7894537049069
q4_2,2025-03-28,13487.358934332853,13310.139412517816,177.2195218150373
q4_2,2025-03-29,13554.701695481417,13277.04258013861,277.6591153428071
q4_2,2025-03-30,36872.21672863626,36196.22290591272,675.9938227235398
q4_2,2025-03-31,39380.53910316863,38737.19265623533,643.3464469332976
q4_2,2025-04-01,40321.968467919185,43143.12405537641,-2821.1555874572223
q4_2,2025-04-02,43582.949725499966,47946.01570833953,-4363.065982839566
q4_2,2025-04-03,37564.75607427505,37568.46563555884,-3.7095612837874796
q4_2,2025-04-04,12569.67367441624,12262.413595549977,307.26007886626394
q4_2,2025-04-05,14340.042339169082,14075.718311165441,264.3240280036407
q4_2,2025-04-06,36573.04301037501,35993.48118437632,579.561825998695
q4_2,2025-04-07,38584.96580902969,37610.344764952315,974.6210440773721
q4_2,2025-04-08,40043.96410070722,39565.77210396489,478.19199674233096
q4_2,2025-04-09,40042.61357115379,41049.56807555542,-1006.9545044016268
q4_2,2025-04-10,34975.85437031058,34090.22513815774,885.6292321528454
q4_2,2025-04-11,12380.52496594736,11889.205483446643,491.3194825007158
q4_2,2025-04-12,13664.88968515426,13276.510511771117,388.3791733831422
q4_2,2025-04-13,36110.97644108781,35378.98395782857,731.9924832592442
