case_id,problem,seed,n,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
310070,3,310070,12,2,12,3514.151877,292.84598975,14030.75939171,109,103,0,0,0.0005375,seven_point_per_channel
310071,3,310071,11,0,11,4274.739777,388.612707,17823.69888734,110,102,1,0,0.0003036,seven_point_per_channel
310071,3,310071,11,1,11,3791.280579,344.6618708182,15441.40290532,109,100,1,0,0.0005741,seven_point_per_channel
310071,3,310071,11,2,11,3791.280579,344.6618708182,15441.40290532,109,100,1,0,0.000556,seven_point_per_channel
310072,3,310072,10,0,10,4581.814278,458.1814278,19309.07140292,112,107,1,0,0.0002431,seven_point_per_channel
310072,3,310072,10,1,10,3821.861966,382.1861966,15459.30983691,114,107,1,0,0.0004345,seven_point_per_channel
310072,3,310072,10,2,10,3821.861966,382.1861966,15459.30983691,114,107,1,0,0.0004361,seven_point_per_channel
310073,3,310073,16,0,16,4885.213778,305.325861125,21106.06889262,98,94,0,0,0.0004001,upper_bound_16
310073,3,310073,16,1,16,3975.643162,248.477697625,16353.2158231,105,97,1,0,0.0006501,upper_bound_16
310073,3,310073,16,2,16,3975.643162,248.477697625,16353.2158231,105,97,1,0,0.0006335,upper_bound_16
310074,3,310074,16,0,16,4893.358263,305.8348914375,21281.79131718,94,87,0,0,0.0004116,upper_bound_16
310074,3,310074,16,1,16,4252.347688,265.7717305,18526.73845378,79,72,0,0,0.001351,upper_bound_16
310074,3,310074,16,2,16,4252.347688,265.7717305,18526.73845378,79,72,0,0,0.0013491,upper_bound_16
310075,3,310075,12,0,12,4128.85777,344.0714808333,17534.28886301,94,86,2,0,0.000315,seven_point_per_channel
310075,3,310075,12,1,12,3234.689361,269.55744675,12903.44680322,99,87,4,1,0.0009775,seven_point_per_channel
310075,3,310075,12,2,12,3234.689361,269.55744675,12903.44680322,99,87,4,1,0.0009583,seven_point_per_channel
310076,3,310076,11,0,11,4372.398721,397.4907928182,18101.99359645,117,112,0,0,0.000277,seven_point_per_channel
310076,3,310076,11,1,11,4009.301866,364.4819878182,16431.50932942,112,108,0,0,0.0003958,seven_point_per_channel
310076,3,310076,11,2,11,4009.301866,364.4819878182,16431.50932942,112,108,0,0,0.0003885,seven_point_per_channel
310077,3,310077,10,0,10,3834.910694,383.4910694,15644.55347222,110,106,0,0,0.0002453,seven_point_per_channel
310077,3,310077,10,1,10,3221.8481,322.18481,12574.24050514,110,107,0,0,0.0004269,seven_point_per_channel
310077,3,310077,10,2,10,3221.8481,322.18481,12574.24050514,110,107,0,0,0.0004148,seven_point_per_channel
310078,3,310078,14,0,14,4803.718703,343.1227645,20718.59351858,99,95,0,0,0.0003574,seven_point_per_channel
310078,3,310078,14,1,14,4310.975381,307.9268129286,18374.8769028,94,87,3,0,0.0008778,seven_point_per_channel
310078,3,310078,14,2,14,4310.975381,307.9268129286,18374.8769028,94,87,3,0,0.0008598,seven_point_per_channel
310079,3,310079,12,0,12,4446.863243,370.5719369167,19044.31621509,98,88,0,0,0.0003437,seven_point_per_channel
