日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-08-03,affine_saa_mpc,affine_saa_mpc,59231.97678697761,"[1631574.6956818136, 1792823.114644106, 1648049.313188989, 1796166.0774191315, 1624168.415183208, 1634653.6430429483]"
2025-08-04,affine_saa_mpc,affine_saa_mpc,58477.28582655489,"[1588075.6232645386, 1744605.0215032075, 1608843.214039444, 1744582.1613432697, 1579751.3634559123, 1586242.28470014]"
2025-08-05,affine_saa_mpc,affine_saa_mpc,56923.190824108184,"[1580183.9987128829, 1725975.8602113344, 1600723.8381096544, 1722659.777446554, 1578107.6799908266, 1579054.80454093]"
2025-08-06,affine_saa_mpc,affine_saa_mpc,56823.07740647328,"[1568684.7238214896, 1706645.507501068, 1587046.0308959377, 1703013.4855831594, 1564623.4709014928, 1565618.3251713428]"
2025-08-07,affine_saa_mpc,affine_saa_mpc,55241.45955074699,"[1557768.1443172495, 1705001.4135525138, 1580280.4634528952, 1701099.4490685924, 1551931.036223668, 1553939.2561714114]"
2025-08-08,affine_saa_mpc,affine_saa_mpc,23370.32655430586,"[1544476.3300693168, 1693016.129381245, 1566358.3359058904, 1687124.481060257, 1536677.8170012273, 1538711.1740796892]"
2025-08-09,affine_saa_mpc,affine_saa_mpc,23178.38449513894,"[1537840.5884665747, 1685594.8560790147, 1558587.718719605, 1679115.4008722524, 1529019.831695623, 1531071.4344987862]"
2025-08-10,affine_saa_mpc,affine_saa_mpc,55266.988858958735,"[1531499.8150457055, 1679790.312314389, 1552204.97694596, 1672807.958842306, 1521698.0334840256, 1523998.256874477]"
2025-08-11,affine_saa_mpc,affine_saa_mpc,54288.070775020635,"[1520793.6970809088, 1674613.4830946128, 1540993.393991064, 1668606.4265045777, 1508959.7168966238, 1511296.2863244305]"
2025-08-12,affine_saa_mpc,affine_saa_mpc,56124.72253862709,"[1509414.0962551476, 1666826.7749200903, 1527985.5173163624, 1660891.1381055787, 1495110.6060739507, 1497988.4060070803]"
2025-08-13,affine_saa_mpc,affine_saa_mpc,54052.24216232509,"[1500829.918580807, 1665181.510532183, 1520007.0005035347, 1657544.544798288, 1482842.534259375, 1487400.6236953638]"
2025-08-14,affine_saa_mpc,affine_saa_mpc,54027.11798282001,"[1489187.1192764405, 1651152.9302732034, 1507864.1757788798, 1641366.5127371738, 1468836.2836466865, 1473622.1669622054]"
2025-08-15,affine_saa_mpc,affine_saa_mpc,23026.16068902053,"[1478035.7403174937, 1640721.546860829, 1496916.31936065, 1631136.2443293028, 1455394.3649000325, 1460928.7842989813]"
2025-08-16,affine_saa_mpc,affine_saa_mpc,23189.14407882063,"[1472518.3989963578, 1636185.4213153908, 1491111.057626187, 1625664.7685675283, 1448883.9828071431, 1455045.9446408998]"
2025-08-17,affine_saa_mpc,affine_saa_mpc,53871.02076204592,"[1466930.5624220106, 1633306.3030169236, 1485242.2173177155, 1622574.6279184336, 1442334.9508054263, 1448775.2605891824]"
2025-08-18,affine_saa_mpc,affine_saa_mpc,54032.60579104646,"[1456485.9996825715, 1628286.30237339, 1473666.0504821285, 1615405.983319785, 1429523.8104426218, 1436461.7577541769]"
2025-08-19,affine_saa_mpc,affine_saa_mpc,54462.857272907364,"[1443855.8142944805, 1621114.7626890158, 1460035.7519257711, 1604387.1607287636, 1414268.773693337, 1421541.3282443534]"
2025-08-20,affine_saa_mpc,affine_saa_mpc,64927.46104614819,"[1432711.4640716128, 1607582.7215511666, 1446328.54424293, 1590721.7558174825, 1400932.454408565, 1408458.5796690867]"
2025-08-21,affine_saa_mpc,affine_saa_mpc,54320.541410662394,"[1424660.4854111164, 1617693.4431559262, 1445944.2876021755, 1599992.8018224319, 1398102.6668887357, 1408251.6398336748]"
2025-08-22,affine_saa_mpc,affine_saa_mpc,23732.04745341013,"[1412579.1644486587, 1604441.0226555294, 1432452.9695848986, 1585576.6781557952, 1384487.340345754, 1394682.6904180727]"
2025-08-23,affine_saa_mpc,affine_saa_mpc,23083.180384207288,"[1407443.9155090733, 1608957.4002600769, 1429378.9937099623, 1589633.8089404546, 1378889.17756459, 1390118.25619103]"
2025-08-24,affine_saa_mpc,affine_saa_mpc,55147.96233944696,"[1401436.4295848606, 1605508.4935331973, 1422721.4089041024, 1585215.8436825264, 1371954.5289774274, 1383201.3450433419]"
2025-08-25,affine_saa_mpc,affine_saa_mpc,55649.64563492425,"[1390779.8353343306, 1593461.3823519025, 1408300.2180919505, 1572066.421163603, 1359865.1859291543, 1371151.6525237262]"
