日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-09-07,0.0,0.0,0.0,0.0,1.0,0.0,45264.50646319154,45264.50646319154,0.0
2025-09-08,0.0,0.0,1.3109753217581133e-15,0.0,0.9999999999999962,2.4624091346206102e-15,43337.46516726775,43337.465167267714,-3.637978807091713e-11
2025-09-09,0.0,0.0,0.0,0.0,0.9999999999999998,2.9308578883451635e-16,40208.94494956178,40208.94494956178,0.0
2025-09-10,0.0,0.0,0.0,0.0,1.0,0.0,44987.180037264356,44987.18003726435,-7.275957614183426e-12
2025-09-11,0.0,0.0,0.0,0.0,1.0,0.0,41799.96970725982,41799.96970725983,7.275957614183426e-12
2025-09-12,0.0,0.0,0.0,0.0,1.0,0.0,15591.610108095909,15591.610108095909,0.0
2025-09-13,0.0,0.0,0.0,0.0,0.9999999999999762,2.367206011247686e-14,15494.340528342878,15494.340528342884,5.4569682106375694e-12
2025-09-14,0.0,0.0,0.0,0.0,0.9999999999999991,9.543725995193323e-16,45738.775570667836,45738.77557066781,-2.9103830456733704e-11
2025-09-15,0.0,0.0,0.0,0.0,1.0,0.0,42767.329147757664,42767.32914775767,7.275957614183426e-12
2025-09-16,0.0,0.0,0.0,0.0,1.0,0.0,46296.121601921084,46296.12160192109,7.275957614183426e-12
2025-09-17,0.0,0.0,0.0,0.0,1.0,0.0,44751.124487375906,44751.1244873759,-7.275957614183426e-12
2025-09-18,0.0,0.0,1.5006738998457322e-15,0.0,0.9999999999999984,0.0,43241.419162048835,43241.41916204879,-4.3655745685100555e-11
2025-09-19,0.0,0.0,0.0,0.0,1.0,0.0,15908.77368276186,15908.773682761857,-1.8189894035458565e-12
2025-09-20,0.0,0.0,0.0,0.0,0.9999999999999996,4.650825179520653e-16,15761.490704491267,15761.490704491256,-1.0913936421275139e-11
2025-09-21,0.0,0.0,0.0,0.0,1.0,0.0,45170.68907086111,45170.6890708611,-7.275957614183426e-12
2025-09-22,0.0,0.0,0.0,0.0,0.9999999999999978,2.2885193054729135e-15,47329.326914262514,47329.3269142625,-1.4551915228366852e-11
2025-09-23,0.0,0.0,0.0,0.0,1.0,0.0,47221.19754098784,47221.197540987836,-7.275957614183426e-12
2025-09-24,0.0,0.0,0.0,0.0,1.0,0.0,44761.77424957929,44761.77424957929,0.0
2025-09-25,0.0,0.0,0.0,0.0,1.0,0.0,45876.44655108386,45876.44655108386,0.0
2025-09-26,0.0,0.0,0.0,0.0,1.0,0.0,15622.988785464724,15622.988785464724,0.0
2025-09-27,0.0,0.0,0.0,0.0,1.0,0.0,16670.500296798647,16670.500296798644,-3.637978807091713e-12
2025-09-28,0.0,0.0,8.094370308096594e-16,0.0,0.9999999999999991,0.0,47518.61263273948,47518.61263273942,-5.820766091346741e-11
2025-09-29,0.0,0.0,1.3540230805652582e-15,0.0,0.9999999999999987,0.0,47729.47811750979,47729.47811750975,-3.637978807091713e-11
2025-09-30,0.0,0.0,0.0,0.0,1.0,0.0,49844.309246935045,49844.30924693504,-7.275957614183426e-12
2025-10-01,0.0,0.0,0.0,0.0,1.0,0.0,41959.543434461004,41959.543434461,-7.275957614183426e-12
2025-10-02,0.0,0.0,0.0,0.0,1.0,0.0,44325.37588354862,44325.375883548615,-7.275957614183426e-12
2025-10-03,0.0,0.0,0.0,0.0,1.0,0.0,14057.656185588283,14057.656185588285,1.8189894035458565e-12
2025-10-04,0.0,0.0,0.0,0.0,1.0,0.0,15825.889212930688,15825.889212930688,0.0
2025-10-05,0.0,0.0,0.0,0.0,1.0,0.0,44224.730605735094,44224.730605735094,0.0
2025-10-06,0.0,0.0,0.0,0.0,1.0,0.0,42996.15734714462,42996.15734714462,0.0
2025-10-07,0.0,0.0,0.0,0.0,1.0,0.0,43777.5916256913,43777.5916256913,0.0
2025-10-08,0.0,0.0,1.6245534423160707e-15,0.0,0.9999999999999983,0.0,39559.63460217477,39559.6346021747,-6.548361852765083e-11
2025-10-09,0.0,0.0,0.0,0.0,1.0,0.0,42566.20308640135,42566.20308640135,0.0
2025-10-10,0.0,0.0,0.0,0.0,1.0,0.0,13634.108380071633,13634.108380071631,-1.8189894035458565e-12
2025-10-11,0.0,0.0,8.094370308096594e-16,0.0,0.9999999999999991,0.0,13805.767466672705,13805.767466672667,-3.8198777474462986e-11
2025-10-12,0.0,0.0,0.0,0.0,1.0,0.0,41499.25580576767,41499.25580576767,0.0
2025-10-13,0.0,0.0,0.0,0.0,1.0,0.0,41777.35939198034,41777.35939198034,0.0
2025-10-14,0.0,0.0,0.0,0.0,1.0,0.0,44299.71513748646,44299.71513748646,0.0
2025-10-15,0.0,0.0,9.78113758528992e-15,0.0,0.9999999999999902,0.0,45386.4876715435,45386.48767154347,-2.9103830456733704e-11
2025-10-16,0.0,0.0,0.0,0.0,1.0,0.0,45785.30991410912,45785.30991410912,0.0
2025-10-17,0.0,0.0,1.7648368792113525e-15,0.0,0.9999999999999982,0.0,14334.192298465083,14334.192298465045,-3.8198777474462986e-11
2025-10-18,0.0,0.0,0.0,0.0,1.0,0.0,14206.845875439,14206.845875438998,-1.8189894035458565e-12
2025-10-19,0.0,0.0,0.0,0.0,1.0,0.0,46773.82078681761,46773.82078681761,0.0
2025-10-20,0.0,0.0,0.0,0.0,1.0,0.0,48583.6107803197,48583.6107803197,0.0
2025-10-21,0.0,0.0,0.0,0.0,1.0,0.0,48923.497310509505,48923.4973105095,-7.275957614183426e-12
2025-10-22,0.0,0.0,3.663472534961983e-16,0.0,0.9999999999999996,0.0,47599.1665495006,47599.166549500536,-6.548361852765083e-11
2025-10-23,0.0,0.0,0.0,0.0,1.0,0.0,49646.276290240006,49646.27629024,-7.275957614183426e-12
2025-10-24,0.0,0.0,0.0,0.0,0.9999999999999997,3.719326629945419e-16,14297.294372717646,14297.294372717637,-9.094947017729282e-12
2025-10-25,0.0,0.0,0.0,0.0,1.0,0.0,14347.150128197221,14347.150128197221,0.0
2025-10-26,0.0,0.0,0.0,0.0,1.0,0.0,48141.89811490507,48141.89811490507,0.0
