date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,planned_energy,adjusted_energy,spill_energy,projection_count,projection_total_kwh,projection_max_kwh
2025-05-29,38825.11296112534,0.0,0.0,4.819568033553878e-11,38825.11296112539,1.319477860306506e-11,61893.5139772381,61893.5139772381,4399.698754579272,0,0.0,0.0
2025-05-30,13175.223529837383,0.0,0.0,2.770697982157344e-11,13175.22352983741,9.155343150268891e-12,30302.236903925117,30302.236903925117,20376.90065173923,0,0.0,0.0
2025-05-31,12670.80081363093,0.0,0.0,191.10769000001721,12861.908503630948,72.14333333333909,30121.06941484662,30121.06941484662,18615.517412359983,0,0.0,0.0
2025-06-01,42511.709486653825,0.0,0.0,57750.6239704585,100262.33345711234,12698.908002476832,62578.543140122405,62578.543140122405,8.01136934569513e-12,0,0.0,0.0
2025-06-02,42507.15693372892,0.0,0.0,42963.88518883108,85471.04212256,9241.465605564024,63667.045752232385,63667.045752232385,153.47181750797606,0,0.0,0.0
2025-06-03,43755.37142701309,0.0,0.0,32182.887797822812,75938.2592248359,6426.1736823181345,65842.54840164824,65842.54840164824,1.2537526572486968e-11,0,0.0,0.0
2025-06-04,45603.808714694664,0.0,0.0,29176.166654629826,74779.9753693245,5967.185942099285,67725.81105872313,67725.81105872313,1.1610268302320037e-11,0,0.0,0.0
2025-06-05,48146.486650347244,0.0,0.0,24955.17594898072,73101.66259932797,5177.777867997065,69941.6177138658,69941.6177138658,1.6186385565220007e-11,0,0.0,0.0
2025-06-06,15788.651864571933,0.0,0.0,18034.6463915089,33823.29825608083,4281.29155949837,32596.196784043117,32596.196784043117,2676.6603670355057,0,0.0,0.0
2025-06-07,17440.07705383696,0.0,0.0,7460.912109545792,24900.989163382757,1335.6827687465084,35926.716840517955,35926.716840517955,2106.661731753324,0,0.0,0.0
2025-06-08,62163.80114985416,0.0,0.0,2.924296182982289e-11,62163.8011498542,7.545963853772264e-12,88832.10847317112,88832.10847317112,21355.086025327044,0,0.0,0.0
2025-06-09,62513.372526236766,0.0,0.0,3.0127623062981003e-11,62513.3725262368,7.645439836778678e-12,88006.04623661308,88006.04623661308,13866.176182706355,0,0.0,0.0
2025-06-10,62380.50702376754,0.0,0.0,3.831154593569863e-11,62380.507023767575,1.0270895245412248e-11,88340.29272883259,88340.29272883259,13556.940671309132,0,0.0,0.0
2025-06-11,63135.02149123972,0.0,0.0,5.32479997872315e-11,63135.02149123977,1.1016965117960353e-11,89649.75089112899,89649.75089112899,9519.817744824732,0,0.0,0.0
2025-06-12,64247.32844546138,0.0,0.0,3.868451159405595e-11,64247.328445461426,8.306244581035571e-12,90455.58167354687,90455.58167354687,14850.402369285743,0,0.0,0.0
2025-06-13,23796.14906134979,0.0,0.0,2.3513916147521743e-11,23796.149061349817,7.94031507211912e-12,46179.315596469634,46179.315596469634,15055.011217526178,0,0.0,0.0
2025-06-14,24549.05886060094,0.0,0.0,1.9548870966445975e-11,24549.058860600962,6.799893981224159e-12,46572.58788311042,46572.58788311042,17466.31412289973,0,0.0,0.0
2025-06-15,63708.70692837912,0.0,0.0,4.1117928617495635e-11,63708.706928379164,1.0182077403442236e-11,90204.95507379368,90204.95507379368,16166.381609622942,0,0.0,0.0
2025-06-16,64806.82176020383,0.0,0.0,5.7035512313063924e-11,64806.821760203886,1.2878587085651816e-11,90662.37866407813,90662.37866407813,14727.261863936044,0,0.0,0.0
2025-06-17,64037.95866673725,0.0,0.0,7.262020851328543e-11,64037.95866673732,1.5969447986208252e-11,90453.5538514041,90453.5538514041,12531.273345778185,0,0.0,0.0
2025-06-18,65837.98618707676,0.0,0.0,3.240758772449226e-11,65837.98618707679,7.702283255639486e-12,92220.95879617764,92220.95879617764,18197.756515179608,0,0.0,0.0
2025-06-19,63607.53695900667,0.0,0.0,4.057462810180823e-11,63607.53695900672,9.709566484161769e-12,90641.06514705767,90641.06514705767,19497.307341557254,0,0.0,0.0
2025-06-20,23049.673863048472,0.0,0.0,2.9302988480139905e-11,23049.673863048498,7.879918939579511e-12,44716.64089161446,44716.64089161446,19985.627604868096,0,0.0,0.0
2025-06-21,22579.310253074204,0.0,0.0,2.8792889850137723e-11,22579.310253074236,8.64730509420042e-12,44657.53693433143,44657.53693433143,22596.109428195574,0,0.0,0.0
2025-06-22,62305.27574952763,0.0,0.0,6.026636967249032e-11,62305.2757495277,1.5056400570756523e-11,88539.86324584993,88539.86324584993,18094.617123347387,0,0.0,0.0
2025-06-23,61394.45969171166,0.0,0.0,4.3635627999805135e-11,61394.4596917117,9.477751916620036e-12,88083.21822279623,88083.21822279623,17947.824638286453,0,0.0,0.0
2025-06-24,62246.586713058714,0.0,0.0,3.8624577314294586e-11,62246.58671305876,9.350742402602918e-12,87241.47878142125,87241.47878142125,6846.024929743276,0,0.0,0.0
2025-06-25,60938.59329989683,0.0,0.0,4.447101487059513e-11,60938.59329989688,9.827694213981886e-12,87204.66063850223,87204.66063850223,13537.036986374593,0,0.0,0.0
2025-06-26,60654.83513776316,0.0,0.0,3.526392866604056e-11,60654.8351377632,8.885336910680053e-12,87723.42334612072,87723.42334612072,16933.574546779193,0,0.0,0.0
2025-06-27,20807.734720664128,0.0,0.0,3.1882075868239215e-11,20807.73472066416,9.612310947204605e-12,42271.83248438753,42271.83248438753,19606.2875078226,0,0.0,0.0
2025-06-28,20905.21641410858,0.0,0.0,2.8748102565145925e-11,20905.21641410861,8.86402062860725e-12,42720.22136810137,42720.22136810137,17888.653164074836,0,0.0,0.0
2025-06-29,61552.66324624407,0.0,0.0,4.541271181324191e-11,61552.66324624412,1.0574652264949691e-11,88159.60932202413,88159.60932202413,15050.891622192965,0,0.0,0.0
2025-06-30,59442.424621700266,0.0,0.0,5.137297512392003e-11,59442.42462170031,1.2734091558996852e-11,85868.82521637884,85868.82521637884,12806.27990874013,0,0.0,0.0
2025-07-01,63127.121465298835,0.0,0.0,14342.496219348903,77469.61768464773,3320.9984006738778,84645.75546625574,84645.75546625574,5026.1316350503375,0,0.0,0.0
2025-07-02,59889.948043091004,0.0,0.0,15431.950711263971,75321.89875435499,2820.4168493561865,80575.37637933972,80575.37637933972,7043.059465443032,0,0.0,0.0
2025-07-03,59509.341374512835,0.0,0.0,31669.876282300098,91179.21765681292,4987.456222781125,78765.55360524749,78765.55360524749,61.16804009973222,0,0.0,0.0
2025-07-04,21064.11090777765,0.0,0.0,19123.50475728943,40187.61566506708,5183.920136648534,37215.70773189897,37215.70773189897,9844.93805761318,0,0.0,0.0
2025-07-05,20814.25766833954,0.0,0.0,19328.681388515644,40142.93905685518,4874.889999071929,37739.031031792794,37739.031031792794,10372.197219047626,0,0.0,0.0
2025-07-06,57054.463405799375,0.0,0.0,46594.56510847383,103649.0285142732,8527.575169239044,75192.91574735485,75192.91574735485,9.192646643896296e-12,0,0.0,0.0
2025-07-07,57809.655819640044,0.0,0.0,2311.313472000493,60120.96929164054,397.6413712584309,77529.22400923324,77529.22400923324,725.0472131518304,0,0.0,0.0
2025-07-08,70407.39991344206,0.0,0.0,3.9238258864315866e-11,70407.39991344212,7.972289495228324e-12,92602.13180613727,92602.13180613727,13387.648600845365,0,0.0,0.0
2025-07-09,69515.51208429842,0.0,0.0,2.8752396019626758e-11,69515.51208429845,6.437517185986508e-12,91561.82622234151,91561.82622234151,14311.63407444537,0,0.0,0.0
2025-07-10,70494.67877318751,0.0,0.0,4.0179436666676336e-11,70494.67877318754,9.158895863947691e-12,91722.63313742736,91722.63313742736,15910.861526490171,0,0.0,0.0
2025-07-11,31028.31185990992,0.0,0.0,2.271140076004485e-11,31028.311859909947,5.9188209888816345e-12,51668.61931152557,51668.61931152557,16069.631899430455,0,0.0,0.0
2025-07-12,30500.18270673615,0.0,0.0,1.3353201211430131e-11,30500.18270673616,4.220623850414995e-12,51903.475030926544,51903.475030926544,17518.39935788332,0,0.0,0.0
