日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-04-01,0.0,0.0,0.0,0.0,1.0,0.0,44034.81684186238,44034.81684186238,0.0
2025-04-02,0.0,0.0,0.0,0.0,1.0,0.0,46071.56098329233,46071.56098329234,7.275957614183426e-12
2025-04-03,0.0,0.0,0.0,0.0,1.0,0.0,38961.0575916832,38961.05759168319,-1.4551915228366852e-11
2025-04-04,0.0,0.0,0.0,0.0,1.0,0.0,14831.748922719184,14831.748922719182,-1.8189894035458565e-12
2025-04-05,0.0,0.0,0.0,0.0,0.9999999999999974,2.5934816822692643e-15,14986.768967568445,14986.768967568438,-7.275957614183426e-12
2025-04-06,0.0,0.0,0.0,0.0,0.9999999999999937,6.3599059547599745e-15,38689.575308027124,38689.575308027095,-2.9103830456733704e-11
2025-04-07,0.0,0.0,0.0,0.0,1.0,0.0,38060.567451694114,38060.56745169411,-7.275957614183426e-12
2025-04-08,0.0,0.0,0.0,0.0,1.0,0.0,38217.11943843795,38217.11943843795,0.0
2025-04-09,0.0,0.0,0.0,0.0,0.9999999999999954,4.574992312339925e-15,40985.638311758565,40985.63831175853,-3.637978807091713e-11
2025-04-10,0.0,0.0,0.0,0.0,0.9999999999999976,2.4395434374731235e-15,38042.07817705714,38042.078177057105,-3.637978807091713e-11
2025-04-11,0.0,0.0,0.0,0.0,1.0,0.0,14327.704082939124,14327.704082939123,-1.8189894035458565e-12
2025-04-12,0.0,0.0,0.0,0.0,0.999999999999999,1.0063664198128896e-15,14628.439808188345,14628.439808188336,-9.094947017729282e-12
2025-04-13,0.0,0.0,1.321966976161053e-15,0.0,0.9999999999999915,7.135064916987613e-15,36716.8988421736,36716.898842173534,-6.548361852765083e-11
2025-04-14,0.0,0.0,0.0,0.0,1.0,0.0,36371.93678837588,36371.936788375875,-7.275957614183426e-12
2025-04-15,0.0,0.0,0.0,0.0,1.0,0.0,36951.120879652706,36951.1208796527,-7.275957614183426e-12
2025-04-16,3.612794014387093e-15,1.821266068726631e-15,0.0,0.0,0.9999999999999912,3.33093497150812e-15,36549.22553531361,36549.225535313584,-2.9103830456733704e-11
2025-04-17,0.0,0.0,0.0,0.0,1.0,0.0,36469.138812618345,36469.13881261834,-7.275957614183426e-12
2025-04-18,0.0,0.0,0.0,0.0,1.0,0.0,14141.187649021938,14141.18764902194,1.8189894035458565e-12
