日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-06-17,affine_saa_mpc,baseline,57177.502917091435,"[1265589.6204394577, 1463416.3785808329, 1289502.3556499016, 1480911.908654111, 1272812.8648076267, 1284537.7379921428]"
2025-06-18,affine_saa_mpc,baseline,58317.978772938135,"[1283428.3910864042, 1478334.6228477359, 1308533.7236801258, 1494565.1208519163, 1291336.0306228935, 1303060.9038074096]"
2025-06-19,affine_saa_mpc,baseline,57654.744342668135,"[1302152.5136681302, 1493721.1953185436, 1327792.0014883676, 1509531.7989866512, 1310943.7205925183, 1322661.6983583076]"
2025-06-20,affine_saa_mpc,baseline,25565.986870625853,"[1320936.463356075, 1511073.1220141645, 1347504.5090408502, 1526571.7703865005, 1330560.036801799, 1342278.014567588]"
2025-06-21,affine_saa_mpc,baseline,25354.18567154798,"[1330133.48239703, 1517491.8803284504, 1356771.0988889567, 1533170.850439325, 1340009.9286637972, 1351727.5215151794]"
2025-06-22,affine_saa_mpc,baseline,55669.291209023126,"[1338618.6172378599, 1525917.340087212, 1365424.6813973235, 1540395.1500819188, 1348725.905239461, 1360415.7095161546]"
2025-06-23,affine_saa_mpc,baseline,55513.49400470474,"[1355145.1367630688, 1543839.1201268272, 1382844.6130254662, 1558778.8270957957, 1366197.19004227, 1377886.9943189637]"
2025-06-24,affine_saa_mpc,baseline,58029.50479422159,"[1372017.5059356736, 1554017.9988351276, 1396239.889613246, 1568696.102485701, 1384036.2054072914, 1395502.522377419]"
2025-06-25,affine_saa_mpc,baseline,54811.629183171,"[1390667.5046729764, 1586659.1956718203, 1420145.7256173296, 1602992.3835409717, 1402374.886127029, 1415131.6639099165]"
2025-06-26,affine_saa_mpc,baseline,55334.91682921206,"[1406679.3677910967, 1597476.7318132573, 1436077.4019963562, 1613555.8128583466, 1419450.063371549, 1432183.2525207032]"
2025-06-27,affine_saa_mpc,baseline,23659.906819719028,"[1423469.4794576287, 1607749.7241735205, 1452622.5148143808, 1626498.550117813, 1437348.8581022997, 1450062.850171762]"
2025-06-28,affine_saa_mpc,baseline,23512.361212675914,"[1430987.450653029, 1606337.6571487056, 1459017.1929893466, 1625807.145002093, 1445148.577320422, 1457833.4746082681]"
2025-06-29,affine_saa_mpc,baseline,54565.3558378206,"[1438304.8136009579, 1611632.5433760525, 1466318.546972347, 1631243.3468207354, 1452745.070804591, 1465099.32855379]"
2025-06-30,affine_saa_mpc,baseline,54016.51344610405,"[1394930.293274795, 1578173.702172596, 1432634.6118298364, 1595546.3079565438, 1416772.0031578452, 1428585.5716995536]"
2025-07-01,affine_saa_mpc,baseline,63010.29983373218,"[1366252.6206855872, 1550411.6029070946, 1405545.6415597235, 1567233.6365541792, 1393015.8665852882, 1400906.2885970548]"
2025-07-02,affine_saa_mpc,baseline,63472.70940505178,"[1364552.4342782975, 1545457.5415141166, 1406377.233890037, 1559624.1882691174, 1385204.9979802864, 1391637.7401028096]"
2025-07-03,affine_saa_mpc,baseline,73200.67929223746,"[1365792.2355248453, 1544208.7013264212, 1405629.3535068294, 1555350.7283017193, 1379085.119247865, 1386537.903284392]"
