h,a,b,points,route_m
990,0.625,0.5,28,26186.2
990,0.625,0.541667,28,26215.7
990,0.625,0.583333,28,26246.9
990,0.625,0.625,28,26279.4
990,0.625,0.666667,28,26276.2
990,0.625,0.708333,28,26276.2
990,0.625,0.75,28,26279.4
990,0.625,0.791667,28,26246.9
990,0.625,0.833333,28,26215.7
990,0.625,0.875,28,26186.2
990,0.666667,0.125,28,26028.8
990,0.666667,0.166667,28,26025.8
990,0.666667,0.208333,28,26028.8
990,0.666667,0.458333,28,26146.3
990,0.666667,0.5,28,26176.5
990,0.666667,0.541667,28,26208.5
990,0.666667,0.583333,28,26241.8
990,0.666667,0.625,28,26276.2
990,0.666667,0.666667,28,26311.6
990,0.666667,0.708333,28,26276.2
990,0.666667,0.75,28,26241.8
990,0.666667,0.791667,28,26208.5
990,0.666667,0.833333,28,26176.5
990,0.666667,0.875,28,26146.3
990,0.708333,0.0833333,28,25997.6
990,0.708333,0.125,28,25990.9
990,0.708333,0.166667,28,25990.9
990,0.708333,0.208333,28,25997.6
990,0.708333,0.416667,28,26106.6
990,0.708333,0.458333,28,26137.8
990,0.708333,0.5,28,26170.7
990,0.708333,0.541667,28,26204.9
990,0.708333,0.583333,28,26240.1
990,0.708333,0.625,28,26276.2
990,0.708333,0.666667,28,26276.2
990,0.708333,0.708333,28,26240.1
990,0.708333,0.75,28,26204.9
990,0.708333,0.791667,28,26170.7
990,0.708333,0.833333,28,26137.8
990,0.708333,0.875,28,26106.6
990,0.75,0.125,28,25954.3
990,0.75,0.375,28,26067.4
990,0.75,0.416667,28,26099.6
990,0.75,0.458333,28,26133.5
990,0.75,0.5,28,26168.7
990,0.75,0.541667,28,26204.9
990,0.75,0.583333,28,26241.8
990,0.75,0.625,28,26279.4
990,0.75,0.666667,28,26241.8
990,0.75,0.708333,28,26204.9
990,0.75,0.75,28,26168.7
990,0.75,0.791667,28,26133.5
990,0.75,0.833333,28,26099.6
990,0.75,0.875,28,26067.4
990,0.791667,0.0833333,28,25919.8
990,0.791667,0.125,28,25919.8
990,0.791667,0.291667,28,25997.6
990,0.791667,0.333333,28,26028.8
990,0.791667,0.375,28,26062.2
990,0.791667,0.416667,28,26097.2
990,0.791667,0.458333,28,26133.5
990,0.791667,0.5,28,26170.7
990,0.791667,0.541667,28,26208.5
990,0.791667,0.583333,28,26246.9
990,0.791667,0.625,28,26246.9
990,0.791667,0.666667,28,26208.5
990,0.791667,0.708333,28,26170.7
990,0.791667,0.75,28,26133.5
990,0.791667,0.791667,28,26097.2
990,0.791667,0.833333,28,26062.2
990,0.791667,0.875,28,26028.8
990,0.791667,0.916667,28,25997.6
990,0.833333,0,28,25905
990,0.833333,0.0416667,28,25888.7
990,0.833333,0.125,28,25888.7
990,0.833333,0.166667,28,25905
990,0.833333,0.291667,28,25990.9
990,0.833333,0.333333,28,26025.8
990,0.833333,0.375,28,26062.2
990,0.833333,0.416667,28,26099.6
990,0.833333,0.458333,28,26137.8
990,0.833333,0.5,28,26176.5
990,0.833333,0.541667,28,26215.7
990,0.833333,0.583333,28,26255.2
990,0.833333,0.625,28,26215.7
990,0.833333,0.666667,28,26176.5
990,0.833333,0.708333,28,26137.8
990,0.833333,0.75,28,26099.6
990,0.833333,0.791667,28,26062.2
990,0.833333,0.833333,28,26025.8
990,0.833333,0.875,28,25990.9
990,0.875,0,28,25863.7
990,0.875,0.125,28,25863.8
990,0.875,0.166667,28,25888.7
990,0.875,0.208333,28,25919.8
990,0.875,0.25,28,25954.3
990,0.875,0.291667,28,25990.9
990,0.875,0.333333,28,26028.8
990,0.875,0.375,28,26067.4
990,0.875,0.416667,28,26106.6
990,0.875,0.458333,28,26146.3
990,0.875,0.5,28,26186.2
990,0.875,0.541667,28,26226.3
990,0.875,0.583333,28,26226.3
990,0.875,0.625,28,26186.2
990,0.875,0.666667,28,26146.3
990,0.875,0.708333,28,26106.6
990,0.875,0.75,28,26067.4
990,0.875,0.791667,28,26028.8
990,0.875,0.833333,28,25990.9
990,0.875,0.875,28,25954.3
990,0.875,0.916667,28,25919.8
990,0.875,0.958333,28,25888.7
990,0.916667,0.208333,28,25919.8
990,0.916667,0.291667,28,25997.6
990,0.916667,0.791667,28,25997.6
990,0.916667,0.875,28,25919.8
990,0.958333,0.166667,28,25888.7
990,0.958333,0.875,28,25888.7
999,0,0.0833333,28,26057.2
999,0,0.125,28,26098.9
999,0,0.166667,28,26140.5
999,0,0.5,27,25474.5
999,0.0833333,0.0833333,26,24120.2
999,0.0833333,0.125,26,24157.4
999,0.0833333,0.791667,26,24157.4
999,0.0833333,0.833333,26,24120.2
999,0.125,0.0833333,26,24157.4
999,0.125,0.125,26,24192.3
999,0.125,0.75,26,24192.3
999,0.125,0.791667,26,24157.4
999,0.166667,0.916667,26,24120.2
999,0.208333,0.875,26,24157.4
999,0.208333,0.916667,26,24157.4
999,0.25,0.875,26,24192.3
999,0.75,0.125,26,24192.3
999,0.791667,0.0833333,26,24157.4
999,0.791667,0.125,26,24157.4
999,0.833333,0.0833333,26,24120.2
999,0.875,0.208333,26,24157.4
999,0.875,0.25,26,24192.3
999,0.875,0.875,26,24192.3
999,0.875,0.916667,26,24157.4
999,0.916667,0.166667,26,24120.2
999,0.916667,0.208333,26,24157.4
999,0.916667,0.875,26,24157.4
999,0.916667,0.916667,26,24120.2
