date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,spill_energy,ending_inventory,projection_count,planned_energy,adjusted_energy
2025-03-08,17842.364100470433,721.0714346323298,-9.17140141609707e-14,3.6516695445243386e-11,18563.4355351028,1.0516032489249483e-11,9292.38312733179,8759.71013636448,0,34780.589940680984,35325.15223324986
2025-03-09,45680.70862281802,112.34999558071114,-1414.7897636722764,4.239911710612887e-11,44378.2688547265,1.240785252321075e-11,1801.8428371603281,8728.132530907618,0,73946.30158103409,69246.51136971841
2025-03-10,44260.132870081725,1168.1224047336614,-28.541034613722545,7.376083321908311e-11,45399.714240201734,2.0189627747413397e-11,936.8424652810971,8679.377426038694,0,72141.17160327485,73103.14984249033
2025-03-11,39850.360549311095,3186.505107515816,-1.6859003430156123,6.841684907499257e-11,43035.179756483965,1.944400196407514e-11,893.9102446597703,8294.237727169912,0,64497.55651210989,68630.27912736195
2025-03-12,44626.80292358278,9.188255489789296e-13,-986.828598723656,4.7031971206479285e-11,43639.97432485917,1.3908874052503961e-11,2773.9095417340613,8106.990079633571,0,72047.25468891548,69037.00370086203
2025-03-13,44181.40891164375,439.394581404339,-595.7944871085031,665.1247642685017,44690.133770208085,99.85558594555773,1814.1819368088713,4416.637475313502,0,70562.95737738888,69322.41798818109
2025-03-14,15714.442978580779,635.7338652023229,-0.036451598911389556,3.3619550000282574,16353.502347184218,0.7818500000077613,11352.337420035376,4821.754664522168,0,30358.259621855083,30803.471133521834
2025-03-15,17542.809754894814,547.6575973649313,-2.3459642184152796,61.63852698343519,18149.75991502477,13.155165293659387,7204.023336358385,8369.344429374518,0,35018.73045036073,35410.018030876614
2025-03-16,43582.617951600834,1171.3873098100428,-447.18944771852074,7.4611800000608115,44314.27699369242,1.6400000000156059,2698.5498710996394,9036.17962470029,0,70512.55261409028,70848.68342488611
2025-03-17,39082.348341268036,2049.51379951031,-1036.8857472615593,8.195630130103382e-11,40094.97639351686,2.1437074337882223e-11,799.8764384911353,8713.061282147992,0,64564.602609452675,62333.58830158027
2025-03-18,46848.875931040355,6.049944545338803e-13,-2843.308038675996,7.668952051176348e-11,44005.567892364445,2.0339285811132868e-11,1846.0118375628592,8706.790113297799,0,75376.06657619914,66953.65036940888
2025-03-19,38804.59713316683,2229.8829629811726,0.0,6.49580617750195e-11,41034.480096148065,1.7829095838584053e-11,1923.678894764992,9085.70178933549,0,62960.5564847615,65825.32514008865
2025-03-20,41015.09374360314,272.9798189238293,-885.1082574997452,628.6365059133072,41031.60181094053,129.91646423642655,1197.2753235227513,4522.9120593006655,0,64793.26720713581,62297.92823353127
2025-03-21,15172.208105547146,369.15160273893554,-82.60998301758254,2.7808823688246776e-11,15458.74972526853,8.043343768804334e-12,14791.175534677459,4090.4043412645183,0,29179.92053519528,29293.272167449104
2025-03-22,18663.15107957711,3.745036281088687e-13,-2.57113886289174,3.5480894666761743e-11,18660.57994071426,1.0231815394945443e-11,11817.445543403383,9372.45765334398,0,36461.6411845716,36453.598297761106
2025-03-23,44234.94613085475,9.664972822065465e-13,-2338.0907433774073,534.684891278251,42431.540278755594,77.77951078070049,3153.2446662657467,8722.923906859412,0,71406.99078627813,64940.08381661987
2025-03-24,40965.53243424238,112.9937100767355,-882.5776991474536,4.781483653459873e-11,40195.94844517171,1.3812950783176348e-11,2441.15120522094,8049.1044024717,0,66711.7730852955,63710.435762675326
2025-03-25,45529.124693218895,8.853936619858791,-2150.640497696503,5.3634924057632826e-11,43387.33813214231,1.5994316981959855e-11,2280.8353288281933,8066.772806465645,0,74322.32044220247,67213.346717166
2025-03-26,40405.28626571865,828.9285926275572,-1536.7596101757829,8.037094545443325e-11,39697.4552481705,2.518163455533795e-11,2014.5628296113255,8640.388344827055,0,66389.4033870198,62204.411619335966
2025-03-27,38361.05950384883,405.4949408129212,-969.9468907113956,6.698885357536711e-11,37796.60755395042,1.9539925233402755e-11,963.2683620977595,4097.311873184305,0,61193.76711920531,58569.98354551613
2025-03-28,15873.401849829246,1.8531522982812023e-13,-90.8962433935011,1.657770098972833e-11,15782.505606435761,6.0822458181064576e-12,16649.058566138825,4109.288496578829,0,30774.29346192519,30574.03545617304
2025-03-29,16507.94263773915,663.1869583788059,-2.1657699668337376,3.664425918259439e-11,17168.963826151157,9.762857189343777e-12,18613.34368273095,8615.523076705256,0,33768.894753343106,34245.702518354796
2025-03-30,41435.33862883325,0.0,-2332.128234654535,5.405599523555793e-11,39103.210394178765,1.4701129202876473e-11,1120.8025395683048,8451.994426047791,0,67665.60779742891,60253.75124867048
2025-03-31,36895.96167939784,499.63942260101055,-185.26210583096062,6.958394749290164e-11,37210.33899616796,2.0975221559638157e-11,109.78171468722455,8251.228940329247,0,60824.24506070955,60753.09117134479
2025-04-01,41261.91608800175,213.94731404439153,-116.75333774958537,5.892747623192918e-11,41359.11006429662,1.6186163520615082e-11,3463.650470280426,8614.937541239957,0,67986.89611412065,67768.3288397936
2025-04-02,42162.257766012,5.333333774615312e-13,-702.8548112285041,5.776121270173462e-11,41459.40295478355,1.8253842881676974e-11,2610.1594468078138,8691.793463375201,0,69489.57293097759,66837.78551503911
2025-04-03,40500.82907283867,1.859973508544499e-13,-1686.587305638626,4.486585680751887e-11,38814.24176720009,1.574562702444382e-11,4950.559960171737,3704.5868549539127,0,64015.60389967148,59353.842351237196
2025-04-04,14270.007060330518,2.772139851003885e-13,-0.3655157723510485,3.4574867413539326e-11,14269.641544558202,9.521272659185342e-12,18758.558756314338,4105.408734392873,0,28411.476372939695,28409.730000400992
2025-04-05,16393.585464701,734.2938651801469,-1.5493787354804793,4.841590950377395e-11,17126.329951145715,1.2946088645549025e-11,13539.093164317188,9009.101527347704,0,33363.125153413115,33776.210958285614
2025-04-06,38344.12204924034,303.39577043279587,-1045.13319667984,436.3634449433076,38038.748067936605,93.55108330202586,3018.2239594257762,8663.962899534921,0,64328.16011138806,60890.66322990911
2025-04-07,34676.51418738501,1370.1317685818544,-257.7691981692907,6.393493379164284e-11,35788.87675779763,1.878674993349705e-11,1832.4358069610494,8005.780094615265,0,58156.28384190346,58195.15780243409
