kind,date,emergency,kwh,cost_yuan
q4_2,2025-12-24,False,1.3244516594568267e-11,5.4022251561036684e-11
q4_2,2025-12-25,True,113.17092183640091,868.9887024902381
q4_2,2025-12-26,False,6.444622613344109e-12,2.5625588762068217e-11
q4_2,2025-12-27,False,7.30437932361383e-12,3.1910332154438944e-11
q4_2,2025-12-28,True,11.84082693440945,89.36272087393901
q4_2,2025-12-29,False,9.237055564881302e-12,4.143591070260299e-11
q4_2,2025-12-30,False,8.86757334228605e-12,2.917613528552465e-11
q4_2,2025-12-31,True,37.415000000005705,86.42865000002779
q4_3,2025-02-01,False,7.691625114603085e-12,2.705911406053474e-11
q4_3,2025-02-02,False,1.1105782959930366e-11,4.190064117892689e-11
q4_3,2025-02-03,False,1.758593271006248e-11,7.972836257863492e-11
q4_3,2025-02-04,False,1.375610736431554e-11,6.392637885710428e-11
q4_3,2025-02-05,False,1.9974688569845966e-11,1.015470068033153e-10
q4_3,2025-02-06,True,6.968953697104036,50.420379998491484
q4_3,2025-02-07,True,82.41569127925078,317.8938902896183
q4_3,2025-02-08,False,1.525535253676935e-11,3.980654739166312e-11
q4_3,2025-02-09,False,1.737987531669205e-11,6.818342512815434e-11
q4_3,2025-02-10,False,1.3943068921662416e-11,4.438625356151249e-11
q4_3,2025-02-11,True,457.8429983253967,2421.658195757228
q4_3,2025-02-12,False,1.6633805444143945e-11,7.79115119087237e-11
q4_3,2025-02-13,True,27.16382616242167,126.2746827851205
q4_3,2025-02-14,False,1.4210854715202004e-11,3.823117822321364e-11
q4_3,2025-02-15,False,1.5504042494285386e-11,4.494707894764361e-11
q4_3,2025-02-16,True,12.854282298834041,69.87824742137514
q4_3,2025-02-17,True,26.61401640921389,163.72530836562544
q4_3,2025-02-18,False,2.0978774273316958e-11,7.610479002551074e-11
q4_3,2025-02-19,True,46.881219867858874,254.28373656323
q4_3,2025-02-20,True,33.09849407409,185.69910100265778
q4_3,2025-02-21,False,1.2676082405960187e-11,3.6535311664920306e-11
q4_3,2025-02-22,False,1.1425527191022411e-11,3.4737368537207654e-11
q4_3,2025-02-23,True,17.001005164025447,87.7773479714755
q4_3,2025-02-24,True,29.072466666682132,148.54576843338933
q4_3,2025-02-25,True,31.0950000000161,159.5795400000608
q4_3,2025-02-26,False,1.7342571823064645e-11,7.504146459780259e-11
q4_3,2025-02-27,False,1.658584380948014e-11,6.98874256244153e-11
q4_3,2025-02-28,False,1.1539214028744027e-11,3.6842521922153536e-11
q4_3,2025-03-01,False,1.0011547146859812e-11,2.522811115568402e-11
q4_3,2025-03-02,False,1.7847057165454316e-11,6.844268707340006e-11
q4_3,2025-03-03,False,1.4146905868983595e-11,5.72221630079639e-11
q4_3,2025-03-04,False,2.2726709403286804e-11,8.688581942806194e-11
q4_3,2025-03-05,True,167.00703623957486,785.4426075367019
q4_3,2025-03-06,False,1.6477486042276723e-11,6.250422757148044e-11
q4_3,2025-03-07,False,1.0167866548727034e-11,2.737913007422321e-11
q4_3,2025-03-08,False,7.844391802791506e-12,2.881176897062687e-11
q4_3,2025-03-09,False,2.205702287483291e-11,7.234911247877562e-11
q4_3,2025-03-10,False,2.049560521300009e-11,7.202421947738458e-11
q4_3,2025-03-11,False,2.2144064359963522e-11,7.96766901345336e-11
q4_3,2025-03-12,False,1.6086687537608668e-11,5.581613038430078e-11
q4_3,2025-03-13,True,64.81296656148267,399.73454597874616
q4_3,2025-03-14,True,0.7818500000066528,2.760321425020156
q4_3,2025-03-15,True,37.73540850199436,158.598843678257
q4_3,2025-03-16,True,1.6400000000151698,8.08110000004926
q4_3,2025-03-17,False,1.91491267287347e-11,7.452017314335535e-11
q4_3,2025-03-18,False,1.4789947044846485e-11,5.7833313249489035e-11
q4_3,2025-03-19,False,1.0524716514970223e-11,3.9777210027527875e-11
q4_3,2025-03-20,False,1.48929757415317e-11,5.426641536132593e-11
q4_3,2025-03-21,False,9.265477274311706e-12,2.4192274850065585e-11
q4_3,2025-03-22,False,7.16227077646181e-12,2.2172059743752467e-11
q4_3,2025-03-23,True,25.74205838939858,128.44205922703023
q4_3,2025-03-24,False,1.4559020655724453e-11,4.725704982888601e-11
q4_3,2025-03-25,False,1.8982149185831076e-11,6.102287208875622e-11
q4_3,2025-03-26,False,2.0037305148434825e-11,7.222194753353505e-11
q4_3,2025-03-27,False,2.0591528482327703e-11,8.191327793838355e-11
q4_3,2025-03-28,False,7.048583938740194e-12,1.520751879979798e-11
q4_3,2025-03-29,True,13.790370487184347,52.82287349199012
q4_3,2025-03-30,False,1.9703350062627578e-11,6.623708515007821e-11
q4_3,2025-03-31,False,1.8342660723646986e-11,6.357230830644768e-11
q4_3,2025-04-01,False,1.1162626378791174e-11,4.30378541693699e-11
q4_3,2025-04-02,False,1.4184209362611e-11,4.9026342985314384e-11
q4_3,2025-04-03,False,1.2050804798491299e-11,3.700407091855595e-11
q4_3,2025-04-04,False,7.247535904753022e-12,2.422028444470925e-11
q4_3,2025-04-05,False,1.4246381851990009e-11,4.287549870696239e-11
q4_3,2025-04-06,True,96.15910564421308,461.8494713260559
q4_3,2025-04-07,False,2.0833113012486137e-11,6.510930461445241e-11
