endpoint,kind,date,original_bill,alternative_bill_same_trajectory,bill_increase,no_return_shadow_policy_bill
fixed6000,q4_2,2025-10-18,14437.457114688488,14437.457114688488,0.0,14437.457114688488
fixed6000,q4_2,2025-10-19,47386.019244745155,47386.019244745155,0.0,47386.019244745155
fixed6000,q4_2,2025-10-20,48490.05894361277,48490.05894361277,0.0,48490.05894361277
fixed6000,q4_2,2025-10-21,46836.757014970804,46836.757014970804,0.0,46836.757014970804
fixed6000,q4_2,2025-10-22,49256.04040908592,49256.04040908592,0.0,49256.04040908592
fixed6000,q4_2,2025-10-23,43924.46140337288,43924.46140337288,0.0,43924.46140337288
fixed6000,q4_2,2025-10-24,14386.201345217425,14386.201345217425,0.0,14386.201345217425
fixed6000,q4_2,2025-10-25,17113.185028861997,17113.185028861997,0.0,17113.185028861997
fixed6000,q4_2,2025-10-26,46958.6987131286,46958.6987131286,0.0,46958.6987131286
fixed6000,q4_2,2025-10-27,47386.84235927723,47386.84235927723,0.0,47386.84235927723
fixed6000,q4_2,2025-10-28,46956.567233492926,46956.567233492926,0.0,46956.567233492926
fixed6000,q4_2,2025-10-29,51201.5280207965,51201.5280207965,0.0,51201.5280207965
fixed6000,q4_2,2025-10-30,45998.649895311624,45998.649895311624,0.0,45998.649895311624
fixed6000,q4_2,2025-10-31,17143.23315143117,17143.23315143117,0.0,17143.23315143117
fixed6000,q4_2,2025-11-01,14819.98670616523,14819.98670616523,0.0,14819.98670616523
fixed6000,q4_2,2025-11-02,47741.045630600536,47741.045630600536,0.0,47741.045630600536
fixed6000,q4_2,2025-11-03,50934.44794143227,50934.44794143227,0.0,50934.44794143227
fixed6000,q4_2,2025-11-04,49899.76206219568,49899.76206219568,0.0,49899.76206219568
fixed6000,q4_2,2025-11-05,54202.723972072956,54202.723972072956,0.0,54202.723972072956
fixed6000,q4_2,2025-11-06,53751.59890561725,53751.59890561725,0.0,53751.59890561725
fixed6000,q4_2,2025-11-07,16504.730034687153,16504.730034687153,0.0,16504.730034687153
fixed6000,q4_2,2025-11-08,17328.273848876313,17328.273848876313,0.0,17328.273848876313
fixed6000,q4_2,2025-11-09,51940.358039787556,51940.358039787556,0.0,51940.358039787556
fixed6000,q4_2,2025-11-10,53865.06891482704,53865.06891482704,0.0,53865.06891482704
fixed6000,q4_2,2025-11-11,52594.04424289576,52594.04424289576,0.0,52594.04424289576
fixed6000,q4_2,2025-11-12,53884.94383184222,53884.94383184222,0.0,53884.94383184222
fixed6000,q4_2,2025-11-13,54563.78602710363,54563.78602710363,0.0,54563.78602710363
fixed6000,q4_2,2025-11-14,16591.196725470338,16591.196725470338,0.0,16591.196725470338
fixed6000,q4_2,2025-11-15,16551.00663394011,16551.00663394011,0.0,16551.00663394011
fixed6000,q4_2,2025-11-16,53967.85361905248,53967.85361905248,0.0,53967.85361905248
fixed6000,q4_2,2025-11-17,57574.06440748379,57574.06440748379,0.0,57574.06440748379
